RunNumber,Turbine,m,YawBrMyp,YawBrMzp
167,1,8,6684,6333
167,1,9,7122,6795
167,1,10,7508,7217
167,2,8,6442,5878
167,2,9,6864,6280
167,2,10,7237,6649
168,1,8,3063,3137
168,1,9,3218,3286
168,1,10,3361,3424
168,2,8,2400,2358
168,2,9,2515,2464
168,2,10,2618,2561
169,1,8,4821,4832
169,1,9,5142,5132
169,1,10,5431,5399
169,2,8,5323,5303
169,2,9,5667,5620
169,2,10,5978,5909
170,1,8,2494,2954
170,1,9,2621,3156
170,1,10,2740,3341
170,2,8,2127,2359
170,2,9,2239,2535
170,2,10,2343,2699
171,1,8,5207,4583
171,1,9,5580,4822
171,1,10,5915,5042
171,2,8,4787,4575
171,2,9,5106,4848
171,2,10,5393,5101
172,1,8,3722,3805
172,1,9,3924,4047
172,1,10,4113,4271
172,2,8,2800,2985
172,2,9,2962,3185
172,2,10,3113,3368
173,1,8,5004,4411
173,1,9,5390,4690
173,1,10,5741,4949
173,2,8,3786,3607
173,2,9,4037,3846
173,2,10,4267,4068
174,1,8,2674,2669
174,1,9,2855,2801
174,1,10,3022,2925
174,2,8,2305,2204
174,2,9,2469,2309
174,2,10,2619,2404
175,1,8,6185,5926
175,1,9,6594,6306
175,1,10,6962,6650
175,2,8,5780,5722
175,2,9,6147,6096
175,2,10,6476,6431
176,1,8,4303,3909
176,1,9,4640,4135
176,1,10,4951,4341
176,2,8,3160,2982
176,2,9,3397,3159
176,2,10,3619,3320
177,1,8,5294,4815
177,1,9,5654,5148
177,1,10,5985,5453
177,2,8,4625,4624
177,2,9,4904,4898
177,2,10,5161,5151
178,1,8,2421,2360
178,1,9,2591,2519
178,1,10,2747,2668
178,2,8,1867,1814
178,2,9,1989,1930
178,2,10,2103,2038
179,1,8,4591,4461
179,1,9,4964,4751
179,1,10,5301,5020
179,2,8,4017,4503
179,2,9,4230,4797
179,2,10,4423,5070
180,1,8,2260,2147
180,1,9,2392,2284
180,1,10,2515,2409
180,2,8,1874,1818
180,2,9,1987,1932
