RunNumber,Turbine,m,RootMxb1,RootMyb1,Spn1MLxb1,Spn1MLyb1,Spn2MLxb1,Spn2MLyb1,Spn3MLxb1,Spn3MLyb1,Spn4MLxb1,Spn4MLyb1,Spn5MLxb1,Spn5MLyb1,Spn6MLxb1,Spn6MLyb1
1342,2,13,6407,4572,5089,4361,2992,2875,1340,1531,441.1,660.1,67.81,136.6,0.9841,2.333
1343,1,9,6449,6107,5000,5999,2996,4050,1384,2256,469.9,962.4,74.92,203.1,1.151,3.816
1343,1,10,6582,6413,5107,6298,3062,4264,1416,2388,481,1020,76.94,215.2,1.184,4.039
1343,1,11,6696,6688,5200,6569,3120,4456,1443,2507,490.8,1072,78.77,226,1.215,4.241
1343,1,12,6796,6938,5282,6815,3171,4630,1467,2614,499.6,1118,80.46,235.8,1.243,4.424
1343,1,13,6885,7164,5355,7038,3217,4787,1489,2711,507.6,1160,82.03,244.7,1.27,4.59
1343,2,9,6423,6316,4991,5919,2978,4070,1371,2296,465.2,1001,74.5,209,1.145,3.765
1343,2,10,6555,6668,5094,6225,3041,4290,1401,2428,476,1061,76.67,221.4,1.181,3.976
1343,2,11,6669,6986,5182,6501,3095,4487,1426,2546,485.5,1115,78.67,232.4,1.215,4.166
1343,2,12,6769,7272,5258,6752,3142,4664,1449,2651,494,1163,80.56,242.4,1.246,4.337
1343,2,13,6857,7531,5326,6979,3184,4823,1469,2745,501.7,1206,82.34,251.3,1.277,4.49
1344,1,9,6182,3593,4879,3720,2879,2454,1302,1320,434,535.9,67.49,109.9,0.9894,1.949
1344,1,10,6316,3819,4984,3939,2942,2601,1332,1401,444.7,569.5,69.28,116.6,1.016,2.07
1344,1,11,6428,4023,5072,4138,2995,2734,1357,1474,453.9,600.2,70.86,122.9,1.04,2.183
1344,1,12,6525,4207,5147,4318,3042,2855,1380,1540,462.1,628.1,72.29,128.6,1.061,2.287
1344,1,13,6609,4373,5213,4480,3082,2964,1399,1599,469.5,653.5,73.58,133.9,1.081,2.382
1344,2,9,6146,2902,4838,3070,2864,2021,1299,1069,433,448.4,66.96,91.76,0.9663,1.557
1344,2,10,6286,3081,4947,3230,2930,2132,1330,1132,443.9,476.7,68.73,97.32,0.9929,1.646
1344,2,11,6405,3244,5038,3377,2986,2233,1356,1189,453.2,502.5,70.27,102.5,1.016,1.73
1344,2,12,6507,3390,5117,3511,3034,2324,1379,1241,461.5,526,71.63,107.3,1.037,1.807
1344,2,13,6596,3523,5185,3634,3076,2408,1400,1288,468.8,547.4,72.85,111.7,1.055,1.878
1345,1,9,6404,5110,4985,4890,2946,3280,1342,1757,457.7,738.4,73.61,154.3,1.117,2.776
1345,1,10,6543,5410,5086,5154,3007,3464,1372,1856,469.1,777.3,75.75,161.6,1.151,2.909
1345,1,11,6662,5678,5172,5393,3059,3629,1397,1945,479.2,812,77.69,168.1,1.183,3.028
