Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
135,1,1,19.9496002,14.3669996,0.158,0.076,3
135,2,1,18.9720955,14.8976383,0.158,0.076,3
136,1,1,9.0943861,16.9360008,0.093,-0.243,3
136,2,1,6.276432,23.1731319,0.093,-0.243,3
137,1,1,13.513938,17.8859997,0.245,0.192,3
137,2,1,11.2361145,19.6986294,0.245,0.192,3
138,1,1,7.1479697,19.3869991,0.07,-1.672,3
138,2,1,4.9842715,25.4579201,0.07,-1.672,3
139,1,1,15.0789337,16.2970009,0.189,-0.37,3
139,2,1,13.3681154,17.3821468,0.189,-0.37,3
140,1,1,7.8361101,24.8379993,0.164,-1.501,3
140,2,1,5.6635618,29.7141457,0.164,-1.501,3
141,1,1,10.3791819,17.6060009,0.126,-1.728,3
141,2,1,7.4790149,22.5944424,0.126,-1.728,3
142,1,1,5.2227068,16.1609993,0.248,-3.797,3
142,2,1,3.5851724,22.8841972,0.248,-3.797,3
143,1,1,17.9707146,15.9619999,0.254,-1.227,3
143,2,1,16.7996941,16.3096485,0.254,-1.227,3
144,1,1,9.5511923,18.2870007,0.224,0.985,3
144,2,1,6.8144207,23.6444168,0.224,0.985,3
145,1,1,11.8584528,19.2380009,0.001,-1.744,3
145,2,1,9.0165844,23.1469555,0.001,-1.744,3
146,1,1,5.7894096,26.9860001,0.21,1.259,3
146,2,1,4.264708,36.8693275,0.21,1.259,3
147,1,1,13.9040737,17.1149998,0.131,-0.59,3
147,2,1,11.727457,18.7769985,0.131,-0.59,3
148,1,1,7.2645707,16.8889999,0.05,-4.686,3
148,2,1,5.003571,23.4025021,0.05,-4.686,3
149,1,1,11.488431,16.9860001,0.163,-1.779,3
149,2,1,8.6905994,20.8844204,0.163,-1.779,3
150,1,1,4.6264462,19.0860004,0.146,0.439,3
150,2,1,3.3183963,24.4740543,0.146,0.439,3
151,1,1,22.6219463,13.9119997,0.129,-0.876,3
151,2,1,21.7934456,14.3411875,0.129,-0.876,3
152,1,1,8.7958336,19.3369999,0.221,2.084,3
152,2,1,6.1347713,25.5690441,0.221,2.084,3
153,1,1,12.4534979,18.2999992,0.19,0.868,3
153,2,1,9.7585945,21.3402023,0.19,0.868,3
154,1,1,6.7228775,18.8430004,-0.045,2.221,3
154,2,1,4.6955323,24.867239,-0.045,2.221,3
155,1,1,15.7675257,17.7770004,0.245,-0.096,3
155,2,1,14.0400181,18.3456764,0.245,-0.096,3
156,1,1,8.236805,22.9080009,0.072,0.235,3
156,2,1,6.1199126,26.9882412,0.072,0.235,3
157,1,1,10.5997314,18.4890003,0.266,-1.278,3
157,2,1,7.6643915,23.4452877,0.266,-1.278,3
158,1,1,5.2243738,22.0450001,0.041,2.258,3
158,2,1,3.6957815,27.5920353,0.041,2.258,3
159,1,1,16.4417114,16.3939991,0.149,-1.892,3
159,2,1,15.0106468,16.9352303,0.149,-1.892,3
160,1,1,9.6602421,20.1580009,0.025,-0.804,3
160,2,1,6.8865538,25.499279,0.025,-0.804,3
161,1,1,12.2491026,18.2140007,0.147,-2.217,3
161,2,1,9.4623098,21.4962597,0.147,-2.217,3
162,1,1,6.3119464,23.8269997,0.018,-4.404,3
162,2,1,4.5864863,28.3140221,0.018,-4.404,3
